"status","family","pval","qval","gene_short_name","is.feature","score","dir"
"ICAM3","OK","negbinomial.size",8.86763646096791e-88,5.02562290493578e-86,"ICAM3",TRUE,196.407768590044,-1
"CSF1R","OK","negbinomial.size",1.0846739567366e-87,6.10396449879028e-86,"CSF1R",TRUE,-196.213379519579,1
"RPS7","OK","negbinomial.size",2.83854010082867e-87,1.5862079682323e-85,"RPS7",FALSE,195.258386662367,-1
"COTL1","OK","negbinomial.size",3.80017129796801e-86,2.10883116958767e-84,"COTL1",FALSE,192.67101396556,-1
"RPL18","OK","negbinomial.size",6.79292769612924e-86,3.74360587722543e-84,"RPL18",FALSE,192.097098526261,-1
"RPS3","OK","negbinomial.size",8.30547768917241e-86,4.5458268639847e-84,"RPS3",FALSE,191.902938172148,-1
"RPL18A","OK","negbinomial.size",4.1537685881872e-85,2.2580112100819e-83,"RPL18A",FALSE,190.300078288184,-1
"CDA","OK","negbinomial.size",3.6204177019248e-84,1.95478093622169e-82,"CDA",TRUE,188.141699491436,-1
"C6orf62","OK","negbinomial.size",6.74616041297886e-84,3.61802468859826e-82,"C6orf62",FALSE,-187.526049414737,1
"FAM26F","OK","negbinomial.size",1.2688585955665e-83,6.75963269144791e-82,"FAM26F",TRUE,-186.901009072518,1
"NR1H3","OK","negbinomial.size",6.59616417546262e-83,3.49072502821999e-81,"NR1H3",TRUE,-185.259283073404,1
"RPL28","OK","negbinomial.size",1.74544631103006e-82,9.17622465226398e-81,"RPL28",FALSE,184.292776670398,-1
"ADAP2","OK","negbinomial.size",4.98327921029125e-82,2.60270484767564e-80,"ADAP2",TRUE,-183.250256209231,1
"PRNP","OK","negbinomial.size",9.33535928175332e-82,4.84408155977213e-80,"PRNP",TRUE,-182.629049776697,1
"MGST1","OK","negbinomial.size",1.33046346867204e-81,6.85918295365048e-80,"MGST1",FALSE,182.281219107846,-1
"MERTK","OK","negbinomial.size",1.37061369449551e-80,7.02088079020103e-79,"MERTK",TRUE,-179.955333667673,1
"PRDX1","OK","negbinomial.size",4.29504759110415e-80,2.18609715289893e-78,"PRDX1",TRUE,-178.81951942154,1
"SLC2A3","OK","negbinomial.size",5.48588722669804e-80,2.77453954611038e-78,"SLC2A3",TRUE,178.581152449435,-1
"RPS2","OK","negbinomial.size",1.68039248521992e-79,8.44529330150464e-78,"RPS2",TRUE,177.468027973091,-1
"CFD","OK","negbinomial.size",8.28013763796076e-79,4.13541124155903e-77,"CFD",TRUE,-175.879465383188,1
"SNX10","OK","negbinomial.size",9.83735274568562e-78,4.88262644663191e-76,"SNX10",TRUE,-173.410783786186,1
"CCL3","OK","negbinomial.size",1.14038254385552e-77,5.625183276512e-76,"CCL3",TRUE,-173.269213537497,1
"RPL7","OK","negbinomial.size",5.52677298451045e-77,2.7094750257192e-75,"RPL7",FALSE,171.697127075874,-1
"HLA-DPB1","OK","negbinomial.size",1.67114445110544e-76,8.14275323706317e-75,"HLA-DPB1",TRUE,-170.596753616216,1
"NACA","OK","negbinomial.size",3.49820081028726e-76,1.69418925303064e-74,"NACA",FALSE,169.864092571953,-1
"IGSF6","OK","negbinomial.size",4.25078563720401e-76,2.04626674860827e-74,"IGSF6",TRUE,-169.675279846864,1
"RPS27","OK","negbinomial.size",9.01450395312666e-76,4.3134671311039e-74,"RPS27",FALSE,168.92955486206,-1
"TMSB4X","OK","negbinomial.size",1.35957780136774e-75,6.46689655400573e-74,"TMSB4X",TRUE,-168.524600555202,1
"CD52","OK","negbinomial.size",2.7009899088031e-75,1.27713670776601e-73,"CD52",TRUE,167.844091163395,-1
"SERPINB1","OK","negbinomial.size",5.26303656566627e-75,2.47393677624936e-73,"SERPINB1",FALSE,167.182901070197,-1
"NRP1","OK","negbinomial.size",2.36632534156339e-74,1.10580735698439e-72,"NRP1",TRUE,-165.685550987584,1
